gene,importance,mean_non_msi_h,mean_msi_h,higher_in
AREG,0.0010211106732337355,7.937861421468225,6.598964142870262,Non-MSI-H
TLL2,0.0010208289877636544,3.16610738786332,4.061562758505016,MSI-H
CLDN9,0.0010180148272893326,3.90077262036293,2.5812267999886735,Non-MSI-H
AOX1,0.0010178702337558124,4.174162581325717,3.8569792276519292,Non-MSI-H
FSIP2,0.0010166567658161179,4.190935978021435,3.64605416630331,Non-MSI-H
FOXC2,0.0010118447419462434,3.0583254020731636,2.458272388631576,Non-MSI-H
CYP4F3,0.0010103204149822622,6.457349402928201,5.535263566615604,Non-MSI-H
CRAT37,0.0010044246130016786,1.9474426493818462,0.4142232013409769,Non-MSI-H
LAG3,0.0010008780808996648,4.455245228975639,5.3805046984286875,MSI-H
ATOH8,0.0009914461374996733,4.810489741168334,4.0530778773914715,Non-MSI-H
LNC-LBCS,0.0009901940780392953,2.199701865321774,1.662491063368602,Non-MSI-H
CDHR2,0.0009890898609147848,7.042715242892801,6.019105848485636,Non-MSI-H
TFAP2A,0.0009813825948910382,4.532206072116407,6.135068983762531,MSI-H
SELENBP1,0.0009804928275395739,9.05629090133051,7.91839501704057,Non-MSI-H
RIMS3,0.0009755119732419011,5.0369659506534425,5.381137751129302,MSI-H
PCDHGC3,0.0009725906277630419,5.478138500941962,4.7802462184184025,Non-MSI-H
GRIN1,0.0009622139668637561,3.7472344284030874,4.664733368301116,MSI-H
TRAV21,0.0009618988320170759,1.4349927138365817,1.7186738137505335,MSI-H
IL2RA,0.000956978150626408,4.540058953951923,5.2812136803595155,MSI-H
EPCAM-DT,0.0009560561813377834,3.4815141241482315,2.3246883711061614,Non-MSI-H
RGN,0.0009548424587745005,3.1777199161554863,1.9411257652433533,Non-MSI-H
ENPP3,0.0009547240571067218,5.7506240768730805,3.5277781834935373,Non-MSI-H
TFF2,0.0009529548057073836,3.6735047771455633,5.0661225145574615,MSI-H
GABRP,0.00095207518721902,3.859730891447553,5.701649266426623,MSI-H
KCNMA1,0.0009494889429535447,5.447855950119846,5.523583747353979,MSI-H
LOC102724153,0.0009484426914400116,1.4616671040794973,1.4199687887662902,Non-MSI-H
GLRA2,0.0009459021161165633,3.0876204804283445,1.5103433606558487,Non-MSI-H
SYNGR4,0.0009446267436235305,2.0471155337234723,2.5846034319807503,MSI-H
GPRC6A,0.000935271269820184,1.0057056881983908,1.226015849374659,MSI-H
FIBIN,0.0009333930704898448,5.31752422273317,5.146810903764396,Non-MSI-H
SERP2,0.0009313463677369675,4.285521936160246,3.062554195848072,Non-MSI-H
SLCO4C1,0.0009261945743314057,2.13078117438525,2.030131700885373,Non-MSI-H
GPR143,0.0009256936839908403,5.366278700025276,3.2598388024150604,Non-MSI-H
ABCB1,0.0009235320770809456,6.913288839170938,5.385547040067171,Non-MSI-H
LRIF1,0.000919158419238716,6.391776930342656,5.773580666969188,Non-MSI-H
EPM2AIP1,0.0009173259947253756,6.561945237691782,5.151304618910957,Non-MSI-H
TNFSF18,0.0009128202509946262,2.3191209362414598,1.853087557443341,Non-MSI-H
DLX3,0.0009096574312809922,3.152551307310065,1.0295334992410645,Non-MSI-H
MUC5AC,0.0008992623432749237,4.8231973201328415,6.750286721440825,MSI-H
DNAH2,0.0008934633611320021,4.764824058999384,5.604006964193483,MSI-H
PLA2G4A,0.0008889783357296022,4.9465757984258065,6.287875234364639,MSI-H
SLC9A7,0.0008879592332426818,5.779573148236053,6.5055970658143565,MSI-H
PREX2,0.0008875218901645605,4.315885060721607,4.1791948729697035,Non-MSI-H
