Pathway,Gene,Effect,p_value
Inflammatory Response,CCL17,0.014256997596183485,0.8778926036622167
Complement,CLU,0.014084995696251212,0.8171310370636279
Glycolysis,TKTL1,0.012633874269199374,0.8773804656753188
Glycolysis,TFF3,0.009920056988939052,0.23917128277684607
Interferon Gamma Response,BANK1,-0.0013673872985728863,0.9820922960730253
Interferon Gamma Response,C1S,-0.0028465078495827356,0.7652669695496446
Complement,C1S,-0.0028465078495827356,0.7652669695496446
Glycolysis,DCN,-0.011307371311742642,0.7082119642527376
Pperoxisome,CADM1,-0.015547710381192736,0.6629415454391613
Inflammatory Response,CSF3,-0.019648982211342148,0.9450642198350524
IL-2/STAT5 Signaling,SHE,-0.02008785548461045,0.8289047692251925
TNF-alpha Signaling via NF-kB,PTX3,-0.024747870150541473,0.6272244298558065
Inflammatory Response,CALCRL,-0.029941213095708186,0.6089727601218635
Interferon Gamma Response,EPSTI1,-0.0399069559538896,0.6240363989717825
Inflammatory Response,TACR1,-0.052115455312498726,0.7267252517035224
Complement,ZFPM2,-0.054503451828998184,0.6096830913467902
Complement,CPM,-0.06475356163086143,0.4391828410724721
IL-6/JAK/STAT3 Signaling,LEPR,-0.06553596221428748,0.331864134825278
IL-2/STAT5 Signaling,PENK,-0.07210821302387727,0.7323028555623493
TNF-alpha Signaling via NF-kB,NR4A1,-0.07434692446452473,0.8151043252920631
Glycolysis,CACNA1H,-0.07813227897513553,0.4554075648932918
Allograft Rejection,CD79A,-0.08097762523392849,0.7644671831643346
IL-6/JAK/STAT3 Signaling,PDGFC,-0.10276219063535574,0.28388835274447655
mTORC1 Signaling,NUPR1,-0.10651960296165264,0.5690314030120702
IL-2/STAT5 Signaling,RRAGD,-0.11165956286429513,0.33814300547784315
Glycolysis,RRAGD,-0.11165956286429513,0.33814300547784315
Allograft Rejection,KRT1,-0.11271288334061014,0.23717255213969723
Interferon Gamma Response,SSPN,-0.11621800988226028,0.31048323612812434
Interferon Gamma Response,ZBP1,-0.11863605820517975,0.3487776205906219
IL-2/STAT5 Signaling,ENPP1,-0.12161221399740807,0.15491082328164044
mTORC1 Signaling,PHGDH,-0.12184462691290676,0.40274332149131264
IL-2/STAT5 Signaling,RORA,-0.13379697957568304,0.20576784176033236
Glycolysis,PPFIA4,-0.13919494871654914,0.27848347106757376
Complement,CDA,-0.1433903120309985,0.5465838009779973
Interferon Gamma Response,SELP,-0.14879008949879857,0.35961209813287565
IL-2/STAT5 Signaling,SELP,-0.14879008949879857,0.35961209813287565
TNF-alpha Signaling via NF-kB,FOSB,-0.14915174681473964,0.6144649344329571
IL-2/STAT5 Signaling,IL1RL1,-0.15263576039524862,0.1703932104463156
Complement,ZEB1,-0.1540848536737327,0.20708409913961
Allograft Rejection,IL12A,-0.1684196757575891,0.10298783963530193
Allograft Rejection,TGFB2,-0.17208652478377928,0.26041232947959614
TNF-alpha Signaling via NF-kB,SIK1,-0.17312471222390746,0.4984147740133825
Allograft Rejection,CDKN2A,-0.18454209046460068,0.18043629861460198
IL-2/STAT5 Signaling,S100A1,-0.1962505627676987,0.1018371200439477
IL-2/STAT5 Signaling,GPR83,-0.2056723319828715,0.26514436166475486
Pperoxisome,CRABP2,-0.20676769756427404,0.10164175733882624
Glycolysis,LDHC,-0.21908136040618142,0.9860835949928026
IL-2/STAT5 Signaling,PTH1R,-0.22589450335854222,0.06215652794040381
Complement,LTF,-0.2535915548841876,0.03451092739788657
Complement,TFPI2,-0.26349507652924853,0.15352010900809882
mTORC1 Signaling,PLOD2,-0.3028871454823765,0.00386283566448727
Glycolysis,PLOD2,-0.3028871454823765,0.00386283566448727
Pperoxisome,ALB,-0.3111732298245691,0.16644782616967246
Complement,SCG3,-0.3171111212200515,0.10793804214874314
TNF-alpha Signaling via NF-kB,EGR1,-0.32496254090911947,0.018333164764014996
Allograft Rejection,HDAC9,-0.32948039805995233,0.011069289649176329
Inflammatory Response,CCL20,-0.35464954773847257,0.03838779185642626
TNF-alpha Signaling via NF-kB,CCL20,-0.35464954773847257,0.03838779185642626
mTORC1 Signaling,VLDLR,-0.3613334759169673,0.004133738388409497
Glycolysis,VLDLR,-0.3613334759169673,0.004133738388409497
Complement,CD40LG,-0.3755987072250342,0.005400451125954146
Allograft Rejection,CD40LG,-0.3755987072250342,0.005400451125954146
Allograft Rejection,CCL11,-0.3897762344472975,0.007984229155444335
IL-2/STAT5 Signaling,MAP6,-0.4121358121525045,0.0016387448058563998
Complement,KCNIP3,-0.43191169194524015,0.0011963594429257368
Allograft Rejection,RPL39,-0.4374532738855361,5.248249272586783e-05
Glycolysis,STC2,-0.4713864102318972,0.007229048184437557
Inflammatory Response,HAS2,-0.4718329154021097,0.00011830547158350642
Inflammatory Response,VIP,-0.4720700226087753,0.07105083129111885
Glycolysis,NDST3,-0.4898047196312547,0.00016136073506331223
Inflammatory Response,ROS1,-0.49505096593216336,0.010959327506823636
Complement,HSPA1A,-0.5127454207322009,0.0003822174829825038
IL-2/STAT5 Signaling,ITIH5,-0.5192376550285394,0.00025209688394391404
Allograft Rejection,CARTPT,-0.5197625530665805,0.0026075326924949052
Inflammatory Response,HPN,-0.5240104906821954,0.02292401262865922
Pperoxisome,ABCB4,-0.5841683807575233,3.917948909181409e-06
Complement,TMPRSS6,-0.6096615208158864,8.711452669025321e-06
Pperoxisome,UGT2B17,-0.6161889406158556,0.03918917215384856
Allograft Rejection,INHBB,-0.6233372551115384,0.000248508586483178
Complement,MT3,-0.6266916583323296,0.001887506433995355
TNF-alpha Signaling via NF-kB,EDN1,-0.6301137948329343,2.5632506003103364e-06
Inflammatory Response,EDN1,-0.6301137948329343,2.5632506003103364e-06
Inflammatory Response,CCL24,-0.6944509000230124,0.00017913098254323398
Glycolysis,AK4,-0.7065268817720698,1.6288734344854928e-05
mTORC1 Signaling,AK4,-0.7065268817720698,1.6288734344854928e-05
Pperoxisome,CRABP1,-0.7174148275299714,7.760855632234768e-06
IL-6/JAK/STAT3 Signaling,CNTFR,-0.7271110122528215,0.0003879080805539126
IL-2/STAT5 Signaling,F2RL2,-0.7619186497057662,1.4162836776584271e-05
Pperoxisome,SULT2B1,-0.7828074576587332,3.5305761833070823e-06
Pperoxisome,TTR,-0.786453452073143,1.3519155081868722e-05
Inflammatory Response,NDP,-0.7937731462185449,1.087006353003854e-05
Complement,F2,-0.7941510695640022,2.4612686634919703e-06
Allograft Rejection,F2,-0.7941510695640022,2.4612686634919703e-06
Complement,L3MBTL4,-0.8478106725573822,5.506546603889184e-06
IL-2/STAT5 Signaling,PLAGL1,-0.8544850907250785,7.879063267850742e-10
Allograft Rejection,PF4,-0.9178607389996394,0.0006865309175333179
IL-6/JAK/STAT3 Signaling,PF4,-0.9178607389996394,0.0006865309175333179
IL-2/STAT5 Signaling,TNFSF11,-0.9348463422232407,2.1578842253148204e-08
IL-2/STAT5 Signaling,COCH,-0.9657780650795145,5.6882153195655675e-06
Pperoxisome,SEMA3C,-0.9820936037092789,1.196545719219066e-14
TNF-alpha Signaling via NF-kB,ZBTB10,-0.9908771962577099,2.949084332717577e-14
TNF-alpha Signaling via NF-kB,PMEPA1,-1.0255006925308745,5.883510839162642e-16
Complement,CTSV,-1.0936263653520086,5.248008611233569e-15
Complement,F10,-1.1726332636701913,4.219548447782603e-13
Glycolysis,CLDN9,-1.2013494298422343,3.339484980987131e-12
TNF-alpha Signaling via NF-kB,AREG,-1.2184991848963538,9.795056580592846e-13
Complement,PCLO,-1.2730547072694307,2.069460512539377e-08
Pperoxisome,NR1I2,-1.4424827202156596,3.6480718620697905e-17
Pperoxisome,FABP6,-1.5258202977357245,4.000830061539011e-12
Pperoxisome,ABCB1,-1.5377808678017866,7.128026046438477e-15
IL-2/STAT5 Signaling,ABCB1,-1.5377808678017866,7.128026046438477e-15
Pperoxisome,SERPINA6,-1.7119948265096627,1.3806872996863843e-12
Inflammatory Response,MEP1A,-1.714914144133238,1.2516388455406678e-14
Complement,F7,-2.1438210372721658,4.072792718409203e-22
Inflammatory Response,EREG,-2.1458642177627167,9.946263327495234e-16
Allograft Rejection,EREG,-2.1458642177627167,9.946263327495234e-16
Pperoxisome,CEL,-3.007574948346333,7.742898557675668e-25
