Pathway,Gene,Effect,p_value
Allograft Rejection,IL1B,0.7729241975680905,5.026731886742626e-06
IL-6/JAK/STAT3 Signaling,IL1B,0.7729241975680905,5.026731886742626e-06
Inflammatory Response,IL1B,0.7729241975680905,5.026731886742626e-06
TNF-alpha Signaling via NF-kB,IL1B,0.7729241975680905,5.026731886742626e-06
Inflammatory Response,IL2RB,0.7713145118217017,1.1653205578575797e-08
Allograft Rejection,IL2RB,0.7713145118217017,1.1653205578575797e-08
IL-2/STAT5 Signaling,IL2RB,0.7713145118217017,1.1653205578575797e-08
Interferon Gamma Response,IL2RB,0.7713145118217017,1.1653205578575797e-08
Complement,KYNU,0.7622879148600736,3.563116933778381e-07
TNF-alpha Signaling via NF-kB,KYNU,0.7622879148600736,3.563116933778381e-07
Inflammatory Response,SPHK1,0.760237116991628,9.301655999502581e-08
TNF-alpha Signaling via NF-kB,SPHK1,0.760237116991628,9.301655999502581e-08
Interferon Gamma Response,GBP6,0.7567861975522538,8.771467278166251e-07
Allograft Rejection,HLA-DMB,0.7475929882445671,1.3963790032587597e-07
Allograft Rejection,HLA-DOA,0.7446015018023342,2.4520566083065025e-05
TNF-alpha Signaling via NF-kB,BIRC3,0.7428392529166086,2.0443962879897126e-07
Inflammatory Response,PTAFR,0.7347744542708812,2.785861487852444e-08
Allograft Rejection,HLA-DQA1,0.7227912313142246,2.996370271650252e-05
Interferon Gamma Response,HLA-DQA1,0.7227912313142246,2.996370271650252e-05
IL-2/STAT5 Signaling,IL2RA,0.7221127934587832,8.50584029805572e-07
Allograft Rejection,IL2RA,0.7221127934587832,8.50584029805572e-07
IL-6/JAK/STAT3 Signaling,IL2RA,0.7221127934587832,8.50584029805572e-07
Interferon Gamma Response,IFIT3,0.7202722344541064,1.0609479350647773e-06
IL-6/JAK/STAT3 Signaling,IL9R,0.7195790459578735,8.320942182538851e-08
Inflammatory Response,CCL7,0.719134453134243,9.883893366724645e-05
Allograft Rejection,CCL7,0.719134453134243,9.883893366724645e-05
IL-6/JAK/STAT3 Signaling,CCL7,0.719134453134243,9.883893366724645e-05
Interferon Gamma Response,CCL7,0.719134453134243,9.883893366724645e-05
Complement,LCK,0.7173318948365779,5.294477582533149e-08
Allograft Rejection,LCK,0.7173318948365779,5.294477582533149e-08
Inflammatory Response,LCK,0.7173318948365779,5.294477582533149e-08
mTORC1 Signaling,DAPP1,0.7161336730182208,1.1506140437612424e-05
Inflammatory Response,OSM,0.7114178094927999,5.8761073770987314e-05
Allograft Rejection,CD86,0.7111250660713306,3.796349591471138e-07
Interferon Gamma Response,CD86,0.7111250660713306,3.796349591471138e-07
IL-2/STAT5 Signaling,CD86,0.7111250660713306,3.796349591471138e-07
Interferon Gamma Response,LY6E,0.709978412636465,6.182648876637847e-08
Inflammatory Response,LY6E,0.709978412636465,6.182648876637847e-08
Complement,SERPINA1,0.7089174325497218,0.00016274441101950257
Allograft Rejection,FCGR2B,0.6984863812754414,3.786976286111722e-05
Allograft Rejection,CD96,0.6936819795292575,1.700428467509744e-06
Allograft Rejection,IL18RAP,0.6918197036701317,1.4497621432584473e-07
Inflammatory Response,IL18RAP,0.6918197036701317,1.4497621432584473e-07
Inflammatory Response,MSR1,0.6886435573318792,4.4472005203858405e-05
Inflammatory Response,TNFRSF9,0.6694341180212735,2.855689072566357e-07
IL-2/STAT5 Signaling,TNFRSF9,0.6694341180212735,2.855689072566357e-07
TNF-alpha Signaling via NF-kB,TNFRSF9,0.6694341180212735,2.855689072566357e-07
Interferon Gamma Response,IFIT2,0.6600584353267829,1.1155109771717989e-06
TNF-alpha Signaling via NF-kB,IFIT2,0.6600584353267829,1.1155109771717989e-06
Allograft Rejection,SRGN,0.654526360690384,2.550252794331431e-06
Complement,FCER1G,0.652164081136922,3.643668813991563e-07
Inflammatory Response,SLC7A2,0.6468550382880416,0.00030980303183556374
Glycolysis,CHST4,0.646327177271548,0.06908722011784878
mTORC1 Signaling,SLC7A11,0.6383288651732677,7.2255828615085e-06
Inflammatory Response,PROK2,0.6378834992364277,0.005762094678719492
Allograft Rejection,TRAT1,0.6324916393256821,3.6765344704731e-05
Interferon Gamma Response,SLAMF7,0.6313745544500531,6.934073181342042e-05
Allograft Rejection,NOS2,0.628254127441009,0.001375562521755565
Inflammatory Response,CXCR6,0.6229387080754796,6.694324552502984e-06
Complement,PCSK9,0.6191314589960095,1.5130163147815156e-06
mTORC1 Signaling,SLA,0.614172035204688,4.964412984095105e-06
Allograft Rejection,ITGB2,0.6125528489797656,2.1232796352093273e-05
mTORC1 Signaling,ITGB2,0.6125528489797656,2.1232796352093273e-05
