Gene,Chi2_statistic,Chi2_pvalue
TP53,29.116464597466404,4.758171007231437e-07
KRAS,4.696766623167583,0.09552346913486237
BRAF,149.28230620731142,3.834944509211586e-33
APC,68.76074504383199,1.1716392926353149e-15
TTN,51.10381934355283,7.997359655587945e-12
